Date,Price,Open,High,Low,Change %
12-Feb-18,9.955,9.955,9.955,9.955,0
9-Feb-18,9.955,9.85,9.995,9.825,0.91
8-Feb-18,9.865,9.8,10.077,9.74,0.97
7-Feb-18,9.77,9.8,9.83,9.73,-0.2
6-Feb-18,9.79,9.95,9.99,9.79,-0.81
5-Feb-18,9.87,9.96,9.96,9.81,0.41
2-Feb-18,9.83,9.845,9.855,9.73,1.44
1-Feb-18,9.69,9.765,9.785,9.645,-0.31
31-Jan-18,9.72,9.79,9.79,9.69,-0.72
30-Jan-18,9.79,9.85,9.85,9.75,0.1
29-Jan-18,9.78,9.8,9.81,9.74,0.72
26-Jan-18,9.71,9.73,9.78,9.64,-1.37
25-Jan-18,9.845,9.74,9.845,9.74,1.08
24-Jan-18,9.74,10.07,10.07,9.73,-2.79
23-Jan-18,10.02,9.96,10.04,9.91,1.01
22-Jan-18,9.92,9.88,9.94,9.87,0.2
19-Jan-18,9.9,9.875,9.91,9.81,0.61
18-Jan-18,9.84,9.97,9.97,9.84,-0.81
17-Jan-18,9.92,9.895,9.97,9.87,0
16-Jan-18,9.92,9.89,9.99,9.88,0
15-Jan-18,9.92,9.89,9.93,9.81,0.71
12-Jan-18,9.85,9.925,9.97,9.81,-0.71
11-Jan-18,9.92,10.01,10.03,9.91,-0.7
10-Jan-18,9.99,10.07,10.11,9.99,-0.4
9-Jan-18,10.03,10.045,10.055,9.995,0.15
8-Jan-18,10.015,10.065,10.065,10.015,-0.69
5-Jan-18,10.085,10.085,10.115,10.035,0.4
4-Jan-18,10.045,10.08,10.08,10.015,0.05
3-Jan-18,10.04,10.12,10.12,10.01,-0.4
2-Jan-18,10.08,10.29,10.32,10.07,-1.27
29-Dec-17,10.21,10.27,10.27,10.21,-0.58
28-Dec-17,10.27,10.39,10.39,10.22,-0.96
27-Dec-17,10.37,10.3,10.38,10.21,0.78
26-Dec-17,10.29,10.45,10.46,10.28,-0.96
22-Dec-17,10.39,10.36,10.41,10.34,0.1
21-Dec-17,10.38,10.525,10.525,10.35,-1
20-Dec-17,10.485,10.59,10.61,10.465,-0.8
19-Dec-17,10.57,10.5,10.66,10.48,0.48
18-Dec-17,10.52,10.345,10.53,10.315,1.11
16-Dec-17,10.405,10.405,10.405,10.405,0
15-Dec-17,10.405,10.345,10.405,10.32,0.53
14-Dec-17,10.35,10.36,10.38,10.28,0.83
13-Dec-17,10.265,10.25,10.285,10.225,-0.73
12-Dec-17,10.34,10.33,10.42,10.26,0.58
11-Dec-17,10.28,10.17,10.29,10.14,0.78
8-Dec-17,10.2,10.25,10.25,10.145,-0.49
7-Dec-17,10.25,10.16,10.38,10.16,1.08
6-Dec-17,10.14,10.3,10.3,10.14,-1.27
5-Dec-17,10.27,10.31,10.31,10.15,0.1
4-Dec-17,10.26,10.375,10.375,10.25,-0.87
1-Dec-17,10.35,10.45,10.45,10.31,-0.38
30-Nov-17,10.39,10.31,10.42,10.26,0.78
29-Nov-17,10.31,10.2,10.32,10.09,1.68
28-Nov-17,10.14,10.22,10.22,10.09,-0.29
27-Nov-17,10.17,10.21,10.24,10.085,-0.1
24-Nov-17,10.18,10.14,10.22,10.1,0.89
23-Nov-17,10.09,10.115,10.2,10.05,-0.2
22-Nov-17,10.11,10.08,10.19,10.075,-0.1
21-Nov-17,10.12,10.225,10.225,10.06,-0.49
20-Nov-17,10.17,10.17,10.17,10.17,-0.05
17-Nov-17,10.175,10.315,10.515,10.155,-1.21
16-Nov-17,10.3,10.495,10.675,10.29,-1.76
15-Nov-17,10.485,10.485,10.485,10.485,-0.19
14-Nov-17,10.505,10.345,10.515,10.235,2.14
13-Nov-17,10.285,10.3,10.39,10.2,0.64
10-Nov-17,10.22,10.075,10.27,10.05,1.39
9-Nov-17,10.08,10.08,10.13,10.01,0.4
8-Nov-17,10.04,10.095,10.12,10.01,-0.59
7-Nov-17,10.1,10.035,10.16,10.01,0.5
6-Nov-17,10.05,10.185,10.185,10.01,-1.33
3-Nov-17,10.185,9.995,10.19,9.995,2.36
1-Nov-17,9.95,9.88,9.95,9.88,0.51
31-Oct-17,9.9,9.87,10.07,9.805,0.2
30-Oct-17,9.88,9.76,9.89,9.76,1.44
29-Oct-17,9.74,9.74,9.74,9.74,0
27-Oct-17,9.74,9.91,9.99,9.74,-0.66
26-Oct-17,9.805,9.66,9.86,9.65,1.76
25-Oct-17,9.635,9.75,9.75,9.63,-0.67
24-Oct-17,9.7,9.73,9.76,9.65,-0.1
23-Oct-17,9.71,9.665,9.71,9.615,0.78
22-Oct-17,9.635,9.635,9.635,9.635,0
20-Oct-17,9.635,9.67,9.68,9.59,0.05
19-Oct-17,9.63,9.76,9.76,9.63,-0.82
18-Oct-17,9.71,9.785,9.785,9.705,-0.21
17-Oct-17,9.73,9.87,9.9,9.73,-1.12
16-Oct-17,9.84,9.83,9.87,9.79,0.2
13-Oct-17,9.82,9.89,9.89,9.76,-0.1
11-Oct-17,9.83,9.75,9.83,9.73,0.82
10-Oct-17,9.75,9.85,9.85,9.72,-0.61
9-Oct-17,9.81,9.82,9.86,9.73,0.72
6-Oct-17,9.74,9.895,10,9.72,-1.81
5-Oct-17,9.92,9.76,9.93,9.76,1.64
4-Oct-17,9.76,9.775,9.795,9.72,-0.36
3-Oct-17,9.795,9.695,9.805,9.675,0.62
2-Oct-17,9.735,9.795,9.875,9.685,-0.1
29-Sep-17,9.745,9.845,9.845,9.68,-0.41
28-Sep-17,9.785,9.87,9.885,9.735,-0.41
27-Sep-17,9.825,9.73,9.85,9.73,1.03
26-Sep-17,9.725,9.85,9.85,9.71,-0.46
25-Sep-17,9.77,9.645,9.81,9.645,1.14
22-Sep-17,9.66,9.63,9.71,9.62,0.31
21-Sep-17,9.63,9.88,9.88,9.63,-0.72
20-Sep-17,9.7,9.74,9.81,9.67,-0.36
19-Sep-17,9.735,9.83,9.83,9.72,-0.56
18-Sep-17,9.79,9.84,9.84,9.765,-0.31
15-Sep-17,9.82,9.78,9.84,9.76,0
14-Sep-17,9.82,10.02,10.03,9.77,-1.01
13-Sep-17,9.92,9.87,9.93,9.8,0.51
12-Sep-17,9.87,9.815,9.97,9.79,0.61
11-Sep-17,9.81,9.71,9.84,9.68,0.72
8-Sep-17,9.74,9.81,9.81,9.65,-0.71
6-Sep-17,9.81,9.89,9.91,9.78,-0.91
5-Sep-17,9.9,9.99,9.99,9.87,-0.85
4-Sep-17,9.985,10.025,10.035,9.98,-0.25
1-Sep-17,10.01,9.975,10.04,9.95,0.55
31-Aug-17,9.955,10.08,10.08,9.925,-1.48
30-Aug-17,10.105,10.07,10.105,10.035,0.1
29-Aug-17,10.095,10.06,10.26,10.05,-0.35
28-Aug-17,10.13,10.09,10.13,10.05,-0.2
25-Aug-17,10.15,10.15,10.15,10.04,0.59
24-Aug-17,10.09,10.21,10.4,10.04,-0.59
23-Aug-17,10.15,10.09,10.16,10.07,0
22-Aug-17,10.15,10.195,10.21,10.105,-0.64
21-Aug-17,10.215,10.105,10.245,10.055,0.89
18-Aug-17,10.125,10.26,10.27,10.085,-0.93
