Date,HO2
"Jan 02, 1980",0.821
"Jan 03, 1980",0.827
"Jan 04, 1980",0.85
"Jan 07, 1980",0.828
"Jan 08, 1980",0.786
"Jan 09, 1980",0.792
"Jan 10, 1980",0.798
"Jan 11, 1980",0.776
"Jan 14, 1980",0.758
"Jan 15, 1980",0.75
"Jan 16, 1980",0.73
"Jan 17, 1980",0.73
"Jan 18, 1980",0.728
"Jan 21, 1980",0.721
"Jan 22, 1980",0.75
"Jan 23, 1980",0.754
"Jan 24, 1980",0.754
"Jan 25, 1980",0.751
"Jan 28, 1980",0.752
"Jan 29, 1980",0.765
"Jan 30, 1980",0.77
"Jan 31, 1980",0.783
"Feb 01, 1980",0.813
"Feb 04, 1980",0.806
"Feb 05, 1980",0.802
"Feb 06, 1980",0.78
"Feb 07, 1980",0.78
"Feb 08, 1980",0.763
"Feb 11, 1980",0.766
"Feb 12, 1980",0.752
"Feb 13, 1980",0.748
"Feb 14, 1980",0.742
"Feb 15, 1980",0.747
"Feb 19, 1980",0.733
"Feb 20, 1980",0.732
"Feb 21, 1980",0.745
"Feb 22, 1980",0.738
"Feb 25, 1980",0.74
"Feb 26, 1980",0.735
"Feb 27, 1980",0.738
"Feb 28, 1980",0.738
"Feb 29, 1980",0.73
"Mar 03, 1980",0.743
"Mar 04, 1980",0.747
"Mar 05, 1980",0.748
"Mar 06, 1980",0.747
"Mar 07, 1980",0.74
"Mar 10, 1980",0.736
"Mar 11, 1980",0.725
"Mar 12, 1980",0.733
"Mar 13, 1980",0.742
"Mar 14, 1980",0.743
"Mar 17, 1980",0.755
"Mar 18, 1980",0.748
"Mar 19, 1980",0.738
"Mar 20, 1980",0.745
"Mar 21, 1980",0.745
"Mar 24, 1980",0.745
"Mar 25, 1980",0.748
"Mar 26, 1980",0.75
"Mar 27, 1980",0.758
"Mar 28, 1980",0.752
"Mar 31, 1980",0.755
"Apr 01, 1980",0.763
"Apr 02, 1980",0.771
"Apr 03, 1980",0.785
"Apr 07, 1980",0.777
"Apr 08, 1980",0.781
