Date,Price- Brazil,Price-Arg,Price-Peru,Price-Mex,Price-Japan,Price- US,Price-China
2/12/2018,9.955,5.16,5.875,7.96,210.809,144.56,4.35
2/9/2018,9.955,5.16,5.835,7.95,210.805,144.41,4.34
2/8/2018,9.865,5.16,5.825,7.96,210.347,143.34,4.36
2/7/2018,9.77,5.16,5.825,7.96,210.593,144.16,4.36
2/6/2018,9.79,5.16,5.775,7.87,210.731,144.09,4.36
2/5/2018,9.87,5.16,5.745,7.83,210.324,144.62,4.349
2/2/2018,9.83,5.16,5.745,7.87,210.37,146.03,4.368
2/1/2018,9.69,5.16,5.735,7.86,210.163,145.69,4.371
1/31/2018,9.72,5.16,5.735,7.86,210.51,144.78,4.382
1/30/2018,9.79,5.16,5.715,7.84,210.294,146.56,4.36
1/29/2018,9.78,5.16,5.735,7.839,210.695,147.81,4.388
1/26/2018,9.71,5.16,5.765,7.84,210.437,147.38,4.399
1/25/2018,9.845,5.16,5.755,7.78,210.029,148.12,4.402
1/24/2018,9.74,5.16,5.755,7.734,210.025,148.75,4.396
1/23/2018,10.02,5.16,5.755,7.734,210.262,149.41,4.39
1/22/2018,9.92,5.16,5.735,7.72,209.956,148.47,4.393
1/19/2018,9.9,5.16,5.795,7.71,209.649,149.22,4.386
1/18/2018,9.84,5.16,5.815,7.73,209.294,148.69,4.387
1/17/2018,9.92,5.16,5.775,7.79,209.64,149,4.397
1/16/2018,9.92,5.16,5.755,7.82,209.525,149.44,4.387
1/15/2018,9.92,5.16,5.755,7.8,209.622,150.31,4.411
1/12/2018,9.85,5.16,5.765,7.85,209.617,150.81,4.39
1/11/2018,9.92,5.16,5.825,7.853,208.962,150.44,4.385
1/10/2018,9.99,5.16,5.775,7.85,208.707,150.5,4.39
1/9/2018,10.03,5.17,5.806,7.87,209.493,150.5,4.397
1/8/2018,10.015,5.17,5.84,7.873,210.394,150.44,4.397
1/5/2018,10.085,5.03,5.855,7.873,210.389,150.06,4.394
1/4/2018,10.045,5.03,6.005,7.87,210.638,150.22,4.382
1/3/2018,10.04,5.04,6.105,7.81,210.583,151.72,4.373
1/2/2018,10.08,5.04,6.095,7.73,210.569,151.81,4.375
12/29/2017,10.21,5.04,6.055,7.66,210.564,152.31,4.39
12/28/2017,10.27,4.92,6,7.69,210.56,152.31,4.394
12/27/2017,10.37,4.95,6.035,7.69,210.56,151.75,4.411
12/26/2017,10.29,5.1,6.005,7.69,210.353,152.88,4.386
12/22/2017,10.39,4.91,6.1,7.71,210.348,153,4.392
12/21/2017,10.38,4.91,6.1,7.76,210.335,152.72,4.407
12/20/2017,10.485,4.85,6.1,7.89,210.229,152.94,4.404
12/19/2017,10.57,4.88,6.125,7.89,210.123,151.62,4.393
12/18/2017,10.52,4.89,6.12,7.89,210.123,150.78,4.387
12/16/2017,10.405,4.88,6.14,7.93,210.067,151,4.38
12/15/2017,10.405,4.88,6.175,7.98,210.367,151.19,4.395
12/14/2017,10.35,4.88,6.245,7.98,210.758,150.56,4.385
12/13/2017,10.265,4.95,6.15,7.98,210.551,152.53,4.37
12/12/2017,10.34,4.99,6.17,7.89,210.446,154.28,4.362
12/11/2017,10.28,5.02,6.32,7.81,210.446,155.38,4.383
12/8/2017,10.2,5.02,6.274,7.79,210.441,155.22,4.383
12/7/2017,10.25,5.02,6.315,7.7,210.085,154.81,4.374
12/6/2017,10.14,5.02,6.155,7.76,209.92,153.78,4.384
12/5/2017,10.27,5.02,6.15,7.76,209.766,154.16,4.379
12/4/2017,10.26,5.02,6.155,7.72,209.762,154,4.367
12/1/2017,10.35,5.02,6.185,7.7,209.762,153.97,4.34
11/30/2017,10.39,4.96,6.215,7.68,209.108,155.16,4.35
11/29/2017,10.31,4.95,6.19,7.68,208.704,154.81,4.362
11/28/2017,10.14,4.95,6.215,7.62,208.393,154.12,4.363
11/27/2017,10.17,4.95,6.205,7.62,208.536,154.38,4.37
11/24/2017,10.18,4.95,6.255,7.66,208.881,152.84,4.35
11/23/2017,10.09,4.91,6.235,7.66,208.881,153.31,4.37
11/22/2017,10.11,4.96,6.2,7.63,209.223,154.28,4.37
11/21/2017,10.12,4.73,6.245,7.58,209.019,154.34,4.372
11/20/2017,10.17,4.73,6.24,7.56,208.41,154.25,4.352
11/17/2017,10.175,4.77,6.275,7.56,208.603,154.64,4.359
11/16/2017,10.3,4.77,6.305,7.59,209.097,154.5,4.364
11/15/2017,10.485,4.77,6.29,7.57,209.097,154.09,4.366
11/14/2017,10.505,4.77,6.26,7.58,210.093,153.66,4.37
11/13/2017,10.285,4.69,6.26,7.58,210.089,153.78,4.357
11/10/2017,10.22,4.69,6.296,7.59,209.774,153.56,4.35
11/9/2017,10.08,4.53,6.3,7.59,209.517,154,4.356
11/8/2017,10.04,4.53,6.3,7.58,209.363,152.88,4.378
11/7/2017,10.1,4.73,6.295,7.57,209.363,152.41,4.38
11/6/2017,10.05,4.73,6.295,7.6,209.659,152.31,4.397
11/3/2017,10.185,4.72,6.335,7.64,209.554,153.88,4.38
11/1/2017,9.95,4.67,6.365,7.69,209.04,154.34,4.37
10/31/2017,9.9,4.67,6.345,7.69,209.235,154.69,4.355
10/30/2017,9.88,4.67,6.315,7.72,210.236,154.22,4.355
10/29/2017,9.74,4.77,6.255,7.66,210.236,153.66,4.39
10/27/2017,9.74,4.71,6.265,7.64,210.332,153.47,4.41
10/26/2017,9.805,4.75,6.325,7.58,210.126,152.75,4.356
10/25/2017,9.635,4.85,6.265,7.58,209.559,152.47,4.371
10/24/2017,9.7,4.91,6.245,7.57,209.504,152.38,4.362
10/23/2017,9.71,4.91,6.275,7.58,208.152,151.19,4.363
10/22/2017,9.635,4.71,6.305,7.53,208.152,150.72,4.386
10/20/2017,9.635,4.72,6.285,7.56,208.147,150.91,4.382
10/19/2017,9.63,4.74,6.315,7.56,207.648,151.69,4.368
