http://www.rdatamining.com/docs,mktrf,smb,hml,rf,umd
20050103,-0.0097,-0.0062,-0.0004,0.00008,-0.0066
20050104,-0.013,-0.0058,0.0043,0.00008,0.0025
20050105,-0.0051,-0.011,0,0.00008,0.0001
20050106,0.0034,-0.0014,0.0013,0.00008,0.0005
20050107,-0.0022,-0.0076,-0.0002,0.00008,-0.0018
20050110,0.0042,0.0028,0.0004,0.00008,0.0068
20050111,-0.0068,-0.0035,0.003,0.00008,0.003
20050112,0.0038,-0.0005,-0.0016,0.00008,0.0024
20050113,-0.0077,0.0013,0.0038,0.00008,0.0098
20050114,0.0066,0.0055,0.0007,0.00008,0.0031
20050118,0.0097,0.0016,-0.0018,0.00008,0.0007
20050119,-0.0097,-0.0013,0.0049,0.00008,0.0058
20050120,-0.0077,-0.0012,-0.0006,0.00008,-0.0063
20050121,-0.0056,0.0029,0.0025,0.00008,0.0031
20050124,-0.0049,-0.0079,0.0061,0.00008,-0.0001
20050125,0.0034,0.002,-0.0036,0.00008,-0.0019
20050126,0.0062,0.0094,-0.0021,0.00008,0.0025
20050127,0.0008,0.0017,0.0003,0.00008,0.0037
20050128,-0.003,-0.0026,0.0018,0.00008,0.001
20050131,0.0097,0.0078,0.0016,0.00008,0.0071
20050201,0.0069,-0.0008,0.0019,0.00009,0.004
20050202,0.0036,0.0024,0.0018,0.00009,0.0026
20050203,-0.0027,-0.0017,0.004,0.00009,0.0049
20050204,0.0112,0.0011,-0.0056,0.00009,-0.0029
20050207,-0.0011,0.0014,-0.0002,0.00009,-0.003
20050208,0.0008,0.0024,-0.0017,0.00009,0.0007
20050209,-0.01,-0.0118,0.0073,0.00009,0.0001
20050210,0.0035,-0.0033,0.0006,0.00009,0.0037
20050211,0.0077,0.0043,-0.0031,0.00009,-0.0034
20050214,0.0009,-0.0001,0.0013,0.00009,0.0036
20050215,0.0028,-0.0036,-0.0001,0.00009,0.001
20050216,0.0007,0.0043,0.004,0.00009,0.0108
20050217,-0.0079,-0.003,0.002,0.00009,0.002
20050218,0.0001,-0.0008,-0.0004,0.00009,0.0001
20050222,-0.0147,-0.0031,-0.0012,0.00009,-0.0043
